formula,chemsys,spg_number,spg_symbol,Total Energy(eV),Bulk Modulus(GPa),Shear Modulus(GPa),Youngs Modulus(GPa),Poisson Ratio,Bulk/Shear Ratio,nsites,DeltaE/atom,Volume/atom,a,b,c,alpha,beta,gamma,volume,density,density_atomic
Er2Mg,Er-Mg,63,Cmcm,-21.323071,43.304,278.909,187.547,-0.223,0.081,6,-0.095186167,28.045,3.65152,8.690627,5.387169,90,90,77.850842,167.1274946,7.130360099,27.85458243
Er2Mg,Er-Mg,139,I4/mmm,-10.580911,40.523,21.669,54.871,0.275,2.36,3,-0.068311333,27.97666667,3.576866,3.576866,7.090689,104.609082,104.609076,90.000011,84.75063475,7.030503208,28.25021158
Er3Mg,Er-Mg,123,P4/mmm,-15.081118,39.697,24.758,61.331,0.243,1.855,4,-0.057602125,28.8625,3.535381,3.535381,9.21729,90,90,90,115.206166,7.582751374,28.80154149
Er5Mg24,Er-Mg,217,I-43m,-59.732744,40.042,15.524,41.241,0.328,2.611,29,-0.107682534,24.33931034,9.672065,9.672072,9.672072,109.47125,109.471221,109.471221,696.5242282,3.384413739,24.01807683
ErMg,Er-Mg,221,Pm-3m,-6.140252,39.837,12.726,33.282,0.361,8.624,2,-0.11950375,26.71,3.760531,3.760531,3.760531,90,90,90,53.17991014,5.981572834,26.58995507
ErMg2,Er-Mg,227,Fd-3m,-30.714773,43.693,17.117,45.271,0.327,3.113,6,-0.116978917,25.4525,5.978274,5.978209,5.978274,59.999642,60,59.999642,151.0794257,4.745304082,25.17990429
ErMg2,Er-Mg,194,P6_3/mmc,-30.723877,43.497,20.837,53.877,0.294,2.23,12,-0.117737583,25.49333333,5.986408,5.986408,9.742104,90,90,119.999936,302.3544119,4.742234856,25.19620099
ErMg3,Er-Mg,194,P6_3/mmc,-18.424288,41.128,11.256,30.904,0.375,4.21,8,-0.114468875,24.71875,6.613346,6.613346,5.147115,90,90,120.000086,194.9560343,4.091366664,24.36950429
ErMg3,Er-Mg,225,Fm-3m,-9.24714,39.998,30.123,72.101,0.2,1.488,4,-0.123217875,24.2175,5.127197,5.127197,5.127197,60,60,60,95.30705555,4.184562281,23.82676389
Eu2Mg,Eu-Mg,63,Cmcm,-10.568664,16.706,9.079,21.324,0.286,1.042,6,-0.041333667,37.175,9.52424,9.52424,5.997508,90,90,156.540356,216.5843336,5.033085362,36.09738893
Eu2Mg,Eu-Mg,12,C2/m,-10.51378,15.891,6.501,16.803,0.327,4.55,6,-0.032186333,37.31333333,6.669076,6.669076,9.419645,68.626302,68.626302,33.832731,215.6736813,5.054336868,35.94561355
EuMg,Eu-Mg,221,Pm-3m,-3.563095,23.111,17.458,41.8,0.199,1.434,2,-0.13483675,33.105,4.041333,4.041333,4.041333,90,90,90,66.00454386,4.434566829,33.00227193
EuMg2,Eu-Mg,194,P6_3/mmc,-20.829674,27.414,12.895,33.439,0.297,2.185,12,-0.162495,29.50666667,6.313145,6.313145,10.208669,89.999997,89.999997,120.000211,352.3630689,3.780883891,29.36358907
EuMg3,Eu-Mg,225,Fm-3m,-6.65042,29.425,15.8,40.092,0.273,2.183,4,-0.125993625,26.95,5.297714,5.297714,5.297714,60,60,60,105.135786,3.55179125,26.2839465
EuMg5,Eu-Mg,194,P6_3/mmc,-57.700096,29.845,18.361,45.709,0.245,1.642,36,-0.102868861,27.39555556,10.516721,10.516721,10.844469,90,90,120.000007,1038.722666,2.623255563,28.8534074
Gd2Mg,Gd-Mg,63,Cmcm,-21.786557,40.76,17.162,43.735,0.321,5.141,6,-0.1200865,29.51,3.72047,8.93791,5.500028,90,90,77.987288,178.8885784,6.289936937,29.81476307
GdMg,Gd-Mg,221,Pm-3m,-6.299484,43.026,33.381,79.392,0.192,1.458,2,-0.15985925,27.745,3.830636,3.830636,3.830636,90,90,90,56.20987375,5.363455744,28.10493687
GdMg3,Gd-Mg,225,Fm-3m,-9.487352,40.027,26.165,64.165,0.233,1.852,4,-0.163640625,24.655,5.181235,5.181234,5.181235,59.999998,60.000002,59.99999,98.35234924,3.886007576,24.58808731
Ho5Mg24,Ho-Mg,217,I-43m,-59.929723,39.767,15.926,42.151,0.323,2.51,29,-0.112760086,24.45827586,9.692809,9.692808,9.692808,109.471289,109.471302,109.471302,701.0124584,3.335164473,24.17284339
HoMg,Ho-Mg,221,Pm-3m,-6.173503,39.327,16.135,41.847,0.323,4.086,2,-0.13115625,26.925,3.772762,3.772762,3.772762,90,90,90,53.70047586,5.851580207,26.85023793
HoMg2,Ho-Mg,227,Fd-3m,-15.426291,43.238,12.303,32.718,0.374,9,6,-0.125147667,25.635,5.999861,5.999857,5.999861,59.999976,60,59.999976,152.7243107,4.643557298,25.45405178
HoMg2,Ho-Mg,194,P6_3/mmc,-30.862059,43.019,21.056,54.296,0.29,2.132,12,-0.125937417,25.67166667,6.003183,6.003183,9.778973,90,90,120.00002,305.2016677,4.647314628,25.43347231
HoMg2,Ho-Mg,191,P6/mmm,-7.697168,39.124,16.848,44.091,0.313,2.739,3,-0.119821833,25.84,5.203211,5.203211,3.2548,90,90,119.999997,76.3128972,4.646554602,25.4376324
HoMg3,Ho-Mg,194,P6_3/mmc,-18.527317,40.96,12.61,34.276,0.361,3.635,8,-0.124861,24.8575,6.632835,6.632835,5.158199,90,90,120.000071,196.5290396,4.019268058,24.56612995
HoMg3,Ho-Mg,225,Fm-3m,-9.302738,40.529,30.437,72.891,0.2,1.493,4,-0.134630875,24.315,5.134669,5.134669,5.134669,60,60,60,95.72435528,4.125924322,23.93108882
La2Mg,La-Mg,12,C2/m,-22.88392,29.425,14.007,35.626,0.3,3.477,6,-0.140131167,33.455,6.902137,6.902137,7.968288,74.122535,74.122535,33.1112,198.7398864,5.048562019,33.1233144
La2Mg,La-Mg,15,C2/c,-22.755731,29.079,11.55,30.493,0.325,3.083,6,-0.118766333,32.51833333,6.244912,6.244912,6.725626,62.830841,62.830841,60.712771,194.1113453,5.168943838,32.35189088
La2Mg,La-Mg,12,C2/m,-22.803076,28.68,15.128,38.441,0.277,2.311,6,-0.126657167,32.90333333,6.514409,6.514409,8.916908,70.452212,70.452212,33.374749,195.0563469,5.143901534,32.50939115
La2Mg,La-Mg,63,Cmcm,-22.888141,27.639,14.871,37.355,0.277,2.744,6,-0.140834667,33.415,6.254265,6.254266,5.605512,90,90,119.58839,190.6711368,5.26220517,31.7785228
La2Mg17,La-Mg,194,P6_3/mmc,-73.663984,38.21,29.354,70.106,0.194,1.321,38,-0.157170184,24.80342105,10.311769,10.311769,10.152505,90,90,119.999997,934.9109107,2.454620521,24.6029187
La3Mg,La-Mg,221,Pm-3m,-16.245799,31.555,17.324,43.917,0.268,1.922,4,-0.106676313,33.7075,5.139097,5.139095,5.139095,90,90,90,135.725053,5.395711876,33.93126326
La3Mg,La-Mg,25,Pmm2,-16.224543,30.187,13.842,35.924,0.302,2.572,4,-0.101362313,33.5425,3.781643,5.795418,6.112013,90,90,90,133.9521045,5.467127846,33.48802613
La3Mg,La-Mg,139,I4/mmm,-16.266656,29.431,16.81,42.343,0.26,1.869,4,-0.111890563,33.415,6.333415,6.333415,6.333415,132.980905,132.980905,68.684138,133.5119232,5.485152658,33.3779808
La3Mg,La-Mg,44,Imm2,-16.271615,29.026,11.926,31.394,0.32,2.869,4,-0.113130313,34.125,6.87117,6.87117,6.87117,148.067749,126.448602,63.718894,136.5751902,5.362125285,34.14379754
La4Mg,La-Mg,139,I4/mmm,-21.207337,27.106,15.287,38.41,0.264,2.2,5,-0.1181432,35.02,3.812145,3.812145,12.218427,98.966836,98.966836,90.050354,173.1924349,5.560238474,34.63848698
