formula,chemsys,spg_number,spg_symbol,Total Energy(eV),Bulk Modulus(GPa),Shear Modulus(GPa),Youngs Modulus(GPa),Poisson Ratio,Bulk/Shear Ratio,nsites,DeltaE/atom,Volume/atom,a,b,c,alpha,beta,gamma,volume,density,density_atomic
Mg2Tl,Mg-Tl,189,P-62m,-16.024195,37.645,11.771,31.768,0.359,4.437,9,-0.087982778,23.86666667,8.055039,8.055037,3.698304,90,90,119.999994,207.8109869,6.064721569,23.09010966
Mg2Zn,Mg-Zn,12,C2/m,-8.615526,44.85,27.525,68.528,0.245,1.713,6,-0.113493333,19.66,5.909015,5.909015,6.50079,74.587252,74.587252,31.567912,114.206564,3.315623853,19.03442733
Mg2Zn,Mg-Zn,15,C2/c,-8.747938,44.733,14.241,38.35,0.359,4.49,6,-0.135562,19.98333333,5.132465,5.132465,5.921391,61.978173,61.978173,60.271399,113.7237373,3.329700699,18.95395622
Mg2Zn,Mg-Zn,63,Cmcm,-8.495126,43.166,7.299,20.679,0.42,4.834,6,-0.093426667,19.69666667,5.376002,5.376002,4.738737,90,90,124.3046,113.1330092,3.347086851,18.85550154
Mg3Ag,Ag-Mg,194,P6_3/mmc,-15.57216,48.953,39.688,93.73,0.181,1.251,8,-0.189265625,20.2025,6.111736,6.111737,4.882956,89.999998,90,120.001096,157.95663,3.801012547,19.74457875
Mg3As2,As-Mg,164,P-3m1,-16.924774,53.371,22.936,60.017,0.313,2.774,5,-0.6755057,21.606,4.260979,4.260979,6.738385,90,90,119.999981,105.9510805,3.491221533,21.19021609
Mg3As2,As-Mg,206,Ia-3,-136.139473,49.445,26.239,66.879,0.275,1.939,40,-0.694037725,24.1875,10.705958,10.705959,10.705957,109.471224,109.471225,109.471215,944.6147476,3.132694631,23.61536869
Mg3As2,As-Mg,224,Pn-3m,-32.37816,49.223,31.869,78.636,0.234,1.546,10,-0.5283669,24.013,6.21955,6.21955,6.21955,90,90,90,240.5896224,3.074934735,24.05896224
Mg3Au,Au-Mg,194,P6_3/mmc,-18.73292,59.121,31.884,80.947,0.272,2.087,8,-0.4367575,20.44125,4.663423,4.663423,8.476854,90,90,119.987774,159.6718621,5.61337336,19.95898277
Mg3Au,Au-Mg,165,P-3c1,-56.557269,58.489,35.019,87.56,0.25,1.737,24,-0.451695375,20.33625,7.981896,7.981895,8.435051,90,90,119.999994,465.4043467,5.777542369,19.39184778
Mg3Au,Au-Mg,185,P6_3cm,-56.563273,58.398,35.673,88.897,0.246,1.698,24,-0.451945542,20.32041667,8.028053,8.028054,8.509307,90,90,120.000003,474.9472034,5.661457342,19.78946681
Mg3Au,Au-Mg,194,P6_3/mmc,-17.127142,44.975,16.011,42.873,0.342,3.237,8,-0.23603525,22.01625,4.645187,4.645187,9.468551,90,90,119.99999,176.937814,5.065608967,22.11722675
Mg3Au13,Au-Mg,99,P4mm,-51.566508,121.856,35.385,96.762,0.368,3.651,16,-0.241771875,17.753125,4.078081,4.078081,16.697203,90,89.999993,90,277.686982,15.74793693,17.35543638
Mg3Bi,Bi-Mg,194,P6_3/mmc,-17.491618,39.661,15.787,41.797,0.324,2.681,8,-0.142241914,24.59875,6.380637,6.380637,5.487998,90,90,120.000007,193.4963012,4.83831806,24.18703766
Mg3Bi,Bi-Mg,139,I4/mmm,-8.756645,38.965,7.999,22.36,0.404,6.695,4,-0.144950914,24.6075,5.777798,5.777798,5.777798,134.514483,134.514483,66.285527,96.54834713,4.848330793,24.13708678
Mg3Bi,Bi-Mg,221,Pm-3m,-8.796878,38.832,8.788,24.412,0.395,5.914,4,-0.155009164,24.745,4.582953,4.582953,4.582953,90,90,90,96.25786681,4.86296175,24.0644667
Mg3Bi,Bi-Mg,225,Fm-3m,-8.427027,37.992,10.343,26.573,0.383,1.906,4,-0.062546414,25.5575,5.26412,5.26412,5.26412,60,60,60,103.1483684,4.538106922,25.78709209
Mg3Bi2,Bi-Mg,206,Ia-3,-106.845931,31.9,14.678,38.174,0.301,2.249,40,-0.256318937,32.285,11.78993,11.78993,11.78993,109.471221,109.471221,109.471221,1261.571206,5.16890962,31.53928015
Mg3Cd,Cd-Mg,194,P6_3/mmc,-11.176069,40.055,27.611,67.357,0.22,1.442,8,-0.157103625,21.95375,6.300253,6.300262,4.946935,90,90,120.00004,170.0525846,3.619363548,21.25657308
Mg3Cd,Cd-Mg,44,Imm2,-5.491211,39.147,17.605,45.908,0.305,2.374,4,-0.13289775,22.245,5.924849,5.924849,5.924849,148.730153,125.995114,63.739798,86.45296921,3.559635555,21.6132423
Mg3Cd,Cd-Mg,139,I4/mmm,-5.4843,38.727,19.658,50.421,0.283,2.083,4,-0.13117,22.2175,5.352984,5.352984,5.352984,130.572509,130.572509,72.493159,86.49094479,3.558072626,21.6227362
Mg3Cd,Cd-Mg,187,P-6m2,-10.899826,38.537,19.486,49.968,0.284,2.193,4,-0.12257325,22.65375,3.182086,3.182086,10.027861,90,90,120.000795,87.93448563,3.499662969,21.98362141
Mg3Ga,Ga-Mg,221,Pm-3m,-7.781214,43.206,8.702,23.183,0.411,83.893,4,-0.144544813,20.5925,4.304658,4.304658,4.304658,90,90,90,79.76565925,2.969397778,19.94141481
Mg3Ga,Ga-Mg,194,P6_3/mmc,-15.566986,41.967,14.489,38.854,0.346,3.565,8,-0.145114563,20.56125,6.107353,6.107353,4.916337,90,90,120.000003,158.8101443,2.982882138,19.85126804
Mg3Ga,Ga-Mg,139,I4/mmm,-7.723034,41.409,32.102,76.527,0.192,1.306,4,-0.129999813,20.8275,5.266928,5.266928,5.266928,131.3965,131.3965,71.183876,80.49130865,2.942627911,20.12282716
Mg3Ga,Ga-Mg,44,Imm2,-15.405109,40.077,18.69,47.635,0.302,3.555,8,-0.124879938,21.065,3.220252,9.746117,5.218206,90,90,90,163.7731672,2.892488134,20.4716459
Mg3Ga,Ga-Mg,187,P-6m2,-7.601256,39.988,12.296,33.404,0.361,3.782,4,-0.099555312,21.38,3.171479,3.171479,9.77603,90,90,119.999977,85.15632564,2.78142545,21.28908141
Mg3Ga,Ga-Mg,25,Pmm2,-7.672636,38.93,14.237,37.816,0.339,3.745,4,-0.117400313,20.9875,3.28106,4.844804,5.104778,90,90,90,81.14603255,2.918885421,20.28650814
Mg3Ga,Ga-Mg,225,Fm-3m,-7.552534,35.413,12.205,28.521,0.366,1.329,4,-0.087374812,20.8125,4.935861,4.935861,4.935861,60,60,60,85.03032627,2.785547013,21.25758157
Mg3Hg,Hg-Mg,155,R32,-31.258805,41.481,7.392,20.394,0.418,18.509,24,-0.200801833,22.24083333,9.96089,9.960891,9.960889,48.956699,48.956695,48.956704,516.1427685,5.279536188,21.50594869
Mg3Hg,Hg-Mg,194,P6_3/mmc,-10.618036,41.386,13.236,35.849,0.356,3.505,8,-0.225606125,21.4075,6.248934,6.248934,4.86706,90,90,119.999997,164.5921693,5.518679767,20.57402117
Mg3Hg,Hg-Mg,221,Pm-3m,-5.264313,37.308,16.553,43.262,0.307,2.254,4,-0.214429875,21.56,4.354844,4.354844,4.354844,90,90,90,82.58818699,5.499161006,20.64704675
Mg3In,In-Mg,166,R-3m,-29.651379,39.947,23.419,58.772,0.255,1.714,16,-0.146401938,22.705,10.972276,10.972276,10.972276,33.279552,33.279552,33.279555,354.1148536,3.521320582,22.13217835
Mg3In,In-Mg,139,I4/mmm,-7.389339,39.75,29.294,70.55,0.204,1.359,4,-0.1405255,22.905,5.441978,5.441978,5.441978,131.212587,131.212587,71.475539,89.25539985,3.492651213,22.31384996
Mg3In,In-Mg,194,P6_3/mmc,-14.793749,38.924,11.26,30.743,0.368,4.132,8,-0.142409375,22.75875,6.31434,6.314337,5.109607,90,90,120.000024,176.4305216,3.533832783,22.0538152
Mg3Ir,Ir-Mg,194,P6_3/mmc,-29.32325,77.716,33.88,88.739,0.31,2.35,8,-0.39430875,18.78375,4.542967,4.542969,8.181659,90,90,120.000006,146.2349915,6.021295442,18.27937393
Mg3Ir,Ir-Mg,185,P6_3cm,-88.337943,76.149,28.645,76.361,0.333,2.664,24,-0.409650125,18.665,7.858116,7.858116,8.171676,90,90,120.000164,436.9964212,6.044837291,18.20818422
Mg3Mn,Mg-Mn,11,P2_1/m,-24.808183,52.874,29.198,73.657,0.27,2.248,8,0.226647573,18.24625,4.725154,4.73295,8.672218,76.144699,90,90,188.3016816,2.254945088,23.5377102
Mg3P2,Mg-P,206,Ia-3,-149.631701,57.843,31.554,80.09,0.269,1.882,40,-0.723503353,21.918,10.401487,10.401487,10.401487,109.471225,109.471225,109.471218,866.292214,2.068073439,21.65730535
Mg3P2,Mg-P,224,Pn-3m,-35.539269,57.75,38.314,94.127,0.228,1.507,10,-0.536637728,21.813,6.024428,6.024428,6.024428,90,90,90,218.6489797,2.048438461,21.86489797
Mg3Pb,Mg-Pb,194,P6_3/mmc,-16.588764,37.533,19.078,48.927,0.283,2.066,8,-0.151887,24.13125,6.343106,6.343106,5.349698,90,90,119.999996,186.4076869,4.990587119,23.30096087
Mg3Pb,Mg-Pb,139,I4/mmm,-8.264342,36.271,16.952,43.998,0.298,2.179,4,-0.144377,24.2525,5.587358,5.587358,5.587358,132.213313,132.213313,69.89233,93.82430558,4.957584261,23.45607639
Mg3Pd,Mg-Pd,185,P6_3cm,-68.714905,58.966,31.307,79.798,0.274,1.896,24,-0.480691792,19.56583333,8.01039,8.010391,8.27536,90.000032,90.000028,119.998694,459.8652694,3.88539157,19.16105289
Mg3Pd5,Mg-Pd,55,Pbam,-71.456899,109.738,33.955,92.053,0.36,4.001,16,-0.649751063,15.825,4.213559,5.468883,10.664864,90.000339,90,90,245.7553875,8.17602457,15.35971172
Mg3Pt,Mg-Pt,194,P6_3/mmc,-25.812349,71.148,20.111,55.124,0.371,3.752,8,-0.694476625,19.30375,4.586847,4.586848,8.293624,90,90,119.999996,151.1136274,5.889909691,18.88920343
Mg3Pt,Mg-Pt,185,P6_3cm,-77.927535,70.153,28.945,76.284,0.319,2.636,24,-0.714913625,19.15708333,7.896169,7.89617,8.331832,90,90,120.000007,449.8876005,5.935119912,18.74531669
Mg3Rh,Mg-Rh,185,P6_3cm,-78.753142,65.829,27.027,71.308,0.319,2.534,24,-0.411583167,18.84,7.883286,7.883286,8.207113,90,90,119.999996,441.7083619,3.965831315,18.40451508
Mg3Ru2,Mg-Ru,213,P4_132,-94.511269,110.032,53.34,137.748,0.291,2.118,20,-0.16652765,16.7995,6.905353,6.905353,6.905353,90,90,90,329.274231,5.548439933,16.46371155
Mg3Sb,Mg-Sb,194,P6_3/mmc,-18.445815,43.313,19.161,50.031,0.308,2.535,8,-0.1843965,23.01125,6.25866,6.25866,5.439521,90,90,119.999995,184.5244687,3.503767766,23.06555859
Mg3Sb,Mg-Sb,139,I4/mmm,-9.221174,43.197,18.502,48.527,0.313,2.571,4,-0.183963125,23.065,5.693584,5.693584,5.693584,134.501886,134.501886,66.305149,92.4260265,3.497558589,23.10650662
Mg3Sb,Mg-Sb,44,Imm2,-8.953423,42.563,9.616,26.559,0.396,7.292,4,-0.117025375,23.585,6.104122,6.104122,6.104122,148.794512,126.453049,63.28977,93.83788072,3.44493546,23.45947018
Mg3Sb,Mg-Sb,221,Pm-3m,-9.343652,42.342,7.379,20.915,0.418,6.222,4,-0.214582625,22.915,4.522794,4.522794,4.522794,90,90,90,92.51676149,3.494128389,23.12919037
Mg3Sb2,Mg-Sb,164,P-3m1,-14.632007,42.096,15.812,42.086,0.333,3.067,5,-0.38818,26.632,4.572516,4.572518,7.244753,90,90,120.000002,131.1791569,4.005611044,26.23583138
Mg3Sb2,Mg-Sb,206,Ia-3,-117.3866,37.914,18.122,46.887,0.294,2.168,40,-0.3964436,30.154,11.522122,11.522122,11.522122,109.471221,109.471221,109.471221,1177.539596,3.569834467,29.4384899
Mg3Sc,Mg-Sc,194,P6_3/mmc,-21.81529,43.53,21.088,54.464,0.291,2.114,8,-0.087692,22.935,6.406378,6.40638,5.091644,90,90,120.000016,180.9730084,2.163076759,22.62162605
Mg3Sc,Mg-Sc,221,Pm-3m,-10.937911,43.506,30.036,73.159,0.22,1.593,4,-0.0952585,22.9775,4.513144,4.513144,4.513144,90,90,90,91.92581182,2.129208873,22.98145295
Mg3Sn,Mg-Sn,221,Pm-3m,-8.852583,43.461,13.925,37.718,0.355,3.419,4,-0.243914875,22.6175,4.445862,4.445866,4.445865,90,90,90,87.87564843,3.621035,21.96891211
Mg3Sn,Mg-Sn,139,I4/mmm,-8.812409,41.805,18.052,47.342,0.311,2.317,4,-0.233871375,22.8875,5.496152,5.496152,5.496152,132.09065,132.09065,70.085893,89.63019758,3.550151704,22.40754939
Mg3Sn,Mg-Sn,44,Imm2,-8.617706,40.829,15.968,42.365,0.327,2.704,4,-0.185195625,23.4125,6.031731,6.031731,6.031731,146.691948,127.626685,63.497024,94.40312844,3.370659468,23.60078211
Mg3Te,Mg-Te,139,I4/mmm,-8.304608,35.747,12.072,32.44,0.347,2.458,4,-0.231567667,24.1875,6.087561,6.087561,6.087561,138.850222,138.850222,59.603308,96.70885767,3.442942032,24.17721442
Mg3Zn,Mg-Zn,194,P6_3/mmc,-11.586253,42.395,31.393,75.534,0.203,1.359,8,-0.099832875,20.155,6.138667,6.138667,4.78749,90,90,119.999987,156.2380278,2.940288087,19.52975347
Mg41Al67,Al-Mg,221,Pm-3m,-309.655731,56.271,20.14,53.915,0.34,3.15,108,-0.032562093,18.75805556,12.647501,12.647501,12.647501,90,90,90,2023.085173,2.301730432,18.73227012
Mg44Ir7,Ir-Mg,216,F-43m,-278.13781,58.997,34.281,86.156,0.257,1.721,102,-0.287615667,19.84352941,14.106089,14.106088,14.106096,59.999982,59.999983,59.999968,1984.745511,4.04092165,19.45828933
Mg44Rh7,Mg-Rh,216,F-43m,-256.427983,45.529,27.069,67.776,0.252,1.686,102,-0.295095657,20.0604902,14.265501,14.265501,14.265501,59.999998,59.999999,60,2052.797316,2.89552591,20.12546389
Mg4Zn7,Mg-Zn,8,Cm,-76.151586,62.046,29.685,76.796,0.294,2.161,55,-0.156768745,16.93436364,5.28678,13.151526,14.140627,102.306885,90.027324,101.595029,940.0257705,4.902722008,17.09137765
Mg54Ag17,Ag-Mg,71,Immm,-137.192546,48.231,24.679,63.24,0.281,2.022,71,-0.189010035,20.77408451,12.444013,12.444014,12.444013,107.636966,110.186739,110.605666,1482.248056,3.524671064,20.87673318
Mg5Ag,Ag-Mg,189,P-62m,-10.708363,43.5,19.777,51.469,0.303,2.435,6,-0.13772025,20.99333333,5.362179,5.362179,4.947434,90,90,120.000008,123.1950478,3.091977942,20.53250796
Mg5Ag,Ag-Mg,38,Amm2,-10.657017,42.936,28.722,70.426,0.227,1.577,6,-0.129162583,21.18,8.119763,8.119763,4.980777,90,90,157.785213,124.1558567,3.068049951,20.69264279
Mg5Ag,Ag-Mg,155,R32,-10.671783,42.688,13.911,37.405,0.354,4.204,6,-0.131623583,21.06333333,5.840952,5.840952,5.840952,54.733173,54.733173,54.733175,123.6221256,3.081296074,20.60368759
Mg5Ag,Ag-Mg,8,Cm,-10.66426,42.391,28.742,70.322,0.224,1.518,6,-0.13036975,21.24166667,5.843296,5.843296,7.260973,75.565113,75.565113,31.286186,124.3591625,3.063034219,20.72652709
Mg5As,As-Mg,8,Cm,-12.643396,42.608,9.981,27.68,0.392,5.523,6,-0.146163542,21.54833333,6.041949,6.041949,7.427852,73.949256,73.949256,30.165897,130.5509239,2.498697397,21.75848732
Mg5As,As-Mg,38,Amm2,-12.588525,39.907,9.419,26.184,0.391,3.903,6,-0.137018375,21.72833333,7.890905,7.890905,5.138454,90,90,155.812388,131.0929666,2.488365794,21.84882776
Mg5Bi,Bi-Mg,38,Amm2,-11.623812,38.463,11.894,32.286,0.36,3.801,6,-0.098991109,24.45666667,8.379488,8.379488,5.206847,90,90,156.884427,143.5310491,3.823682276,23.92184151
Mg5Cd,Cd-Mg,38,Amm2,-8.545629,38.692,17.36,45.221,0.305,2.552,6,-0.122164167,22.415,8.323911,8.323911,5.114189,90,90,158.183116,131.6908848,2.949785535,21.9484808
Mg5Ga,Ga-Mg,38,Amm2,-10.652119,38.784,7.947,21.388,0.408,29.112,6,-0.099343375,21.585,8.105774,8.105774,4.924837,90,90,157.075135,126.04181,2.519598659,21.00696833
Mg5Ga,Ga-Mg,155,R32,-10.677211,38.665,13.023,35.06,0.349,3.466,6,-0.103525375,21.595,5.916197,5.916197,5.916197,54.059013,54.059013,54.059008,126.1098099,2.518240062,21.01830164
Mg5Ga2,Ga-Mg,72,Ibam,-28.501347,44.882,19.856,51.876,0.307,2.456,14,-0.181588,20.56285714,5.974706,6.970721,8.163916,115.232425,111.463575,89.976619,281.3089934,3.08097182,20.09349953
Mg5Ge,Ge-Mg,8,Cm,-12.328425,42.038,26.731,66.162,0.238,1.614,6,-0.13287925,21.53166667,5.848827,5.848827,7.456983,75.016674,75.016674,32.099694,130.5581304,2.469540326,21.75968839
Mg5Ge,Ge-Mg,38,Amm2,-12.21722,40.855,19.44,50.288,0.295,2.311,6,-0.114345083,21.57666667,8.102468,8.102468,5.123014,90,90,157.429081,129.0908335,2.497610086,21.51513892
Mg5Hg,Hg-Mg,189,P-62m,-8.22074,40.037,25.693,63.465,0.236,1.655,6,-0.160187083,21.91166667,5.388874,5.388874,5.071284,90,90,120.000005,127.5394651,4.193874743,21.25657752
Mg5Hg,Hg-Mg,8,Cm,-8.19677,39.554,31.581,74.828,0.185,1.263,6,-0.156192083,22.26166667,5.955006,5.955006,7.238623,75.897052,75.897052,31.612411,130.1668615,4.10922208,21.69447692
Mg5Hg,Hg-Mg,38,Amm2,-8.182083,39.096,16.429,43.133,0.316,2.784,6,-0.15374425,22.23333333,8.122255,8.122255,4.968208,90,90,156.793858,129.1498141,4.141581968,21.52496902
Mg5Hg3,Hg-Mg,193,P6_3/mcm,-19.586807,43.858,22.908,58.529,0.278,1.96,16,-0.284958875,22.141875,8.226675,8.226674,5.869256,90,90,120.000004,344.00308,6.982842154,21.5001925
Mg5In,In-Mg,189,P-62m,-10.310859,37.86,8.153,22.758,0.4,5.882,6,-0.105099667,22.95833333,5.542827,5.542831,5.060212,90,90,120.000021,134.6362945,2.914940478,22.43938242
Mg5In,In-Mg,38,Amm2,-10.326756,37.832,16.957,44.211,0.305,2.033,6,-0.107749167,23.01,8.394587,8.394587,5.075493,90,90,157.766129,135.3362995,2.899863421,22.55604992
Mg5In,In-Mg,8,Cm,-10.303212,37.708,18.22,47.041,0.292,2.25,6,-0.103825167,23.08,6.003673,6.003673,7.426901,75.10703,75.10703,31.648041,135.3554457,2.899453233,22.55924094
Mg5In2,In-Mg,72,Ibam,-26.452316,39.674,8.986,24.045,0.4,21.415,14,-0.142599429,23.385,6.227279,7.335511,8.472938,115.480774,111.560325,89.999998,319.1379918,3.65432242,22.79557084
Mg5Pd,Mg-Pd,189,P-62m,-14.210614,51.998,28.53,72.347,0.268,1.883,6,-0.3046455,19.775,5.258942,5.258942,4.8219,90,90,119.999993,115.4903409,3.277430601,19.24839016
Mg5Pd2,Mg-Pd,194,P6_3/mmc,-84.97573,61.123,24.431,64.677,0.324,2.512,28,-0.515858643,19.37142857,8.639391,8.63939,8.158567,90,90,120.000556,527.3614039,4.211352146,18.83433585
Mg5Pd2,Mg-Pd,194,P6_3/mmc,-80.95899,55.557,4.029,11.685,0.465,8.297,28,-0.372403643,19.55214286,9.039325,9.039325,7.827562,90,90,119.999994,553.8972309,4.009596828,19.78204396
Mg5Pt,Mg-Pt,12,C2/m,-15.535852,48.473,35.36,84.916,0.209,1.672,6,-0.42576,19.89833333,5.522189,5.522189,7.369357,70.525086,70.525086,35.117814,121.1138166,4.340888829,20.18563609
Mg5Rh2,Mg-Rh,194,P6_3/mmc,-98.688874,71.89,36.66,93.998,0.282,1.99,28,-0.448621214,18.48821429,8.51484,8.514842,8.038478,90,90,120.000006,504.7281539,4.307698802,18.0260055
Mg5Sb,Mg-Sb,38,Amm2,-12.006882,40.457,10.226,28.111,0.384,5.67,6,-0.11142275,23.42666667,8.278845,8.278845,5.319515,90,90,157.315567,140.6082823,2.873118426,23.43471372
Mg5Sb,Mg-Sb,155,R32,-11.960903,39.974,1.128,3.211,0.487,11.306,6,-0.103759583,23.22333333,6.125111,6.125111,6.125111,53.896682,53.896682,53.896689,139.3170358,2.899747647,23.21950597
Mg5Sb,Mg-Sb,189,P-62m,-11.988245,39.609,11.218,30.335,0.372,6.037,6,-0.108316583,23.42666667,5.705185,5.705185,5.003436,90,90,120.000007,141.0387192,2.86434994,23.5064532
Mg5Si6,Mg-Si,12,C2/m,-39.731209,62.497,34.434,87.25,0.267,1.904,11,-0.056349364,18.15,4.142861,6.814771,7.73545,109.377187,105.206353,90.955647,197.5137611,2.438409492,17.95579646
Mg5Sn,Mg-Sn,38,Amm2,-11.676275,38.928,16.341,42.968,0.316,2.621,6,-0.15772125,23.225,8.247876,8.247876,5.054799,90,90,156.461711,137.3266075,2.904896655,22.88776791
Mg5Sn,Mg-Sn,189,P-62m,-11.639569,37.02,2.821,8.072,0.463,6.684,6,-0.151603583,23.265,5.593967,5.593967,5.03009,90,90,120.000006,136.315781,2.926437422,22.71929683
Mg6V,Mg-V,225,Fm-3m,-15.894131,43.168,25.326,63.45,0.255,1.908,7,0.232928714,22.81285714,6.127448,6.127448,6.127448,60,60,60,162.6761537,2.008571972,23.23945053
Mg7Bi,Bi-Mg,187,P-6m2,-14.716505,38.132,12.376,33.487,0.354,3.325,8,-0.104201957,23.87,6.360426,6.360426,5.353483,90,90,119.999984,187.5597155,3.356456,23.44496443
Mg7Ga,Ga-Mg,187,P-6m2,-13.655678,37.872,7.339,20.679,0.409,5.363,8,-0.093324406,21.84375,6.257538,6.257538,5.043614,90,90,119.999999,171.0328236,2.328755213,21.37910295
Mg7Ir3,Ir-Mg,229,Im-3m,-78.888048,72.818,25.994,69.689,0.34,2.802,20,-0.3043878,19.7855,8.027326,8.027326,8.027326,109.471221,109.471221,109.471221,398.1904681,6.228513371,19.90952341
Mg7Sb,Mg-Sb,187,P-6m2,-15.138649,38.697,8.171,22.86,0.402,5.719,8,-0.118409938,23.05375,6.328331,6.328331,5.319831,90,90,119.999988,184.5044635,2.627053252,23.06305794
Mg7Sn,Mg-Sn,187,P-6m2,-14.74977,39.123,22.963,57.616,0.255,1.707,8,-0.145849813,22.90125,6.377163,6.377163,5.083042,90,90,120.000021,179.0232258,2.679196538,22.37790322
Mg7Ti,Mg-Ti,225,Fm-3m,-17.594334,43.617,24.019,60.67,0.268,2.169,8,0.031410125,21.82,6.278499,6.278499,6.278499,60,60,60,175.0057936,2.068507734,21.8757242
Mg9Si5,Mg-Si,176,P6_3/m,-84.544966,59.056,37.058,91.909,0.241,1.679,28,-0.198919286,19.55464286,7.1346,7.134601,12.293909,90,90,119.999995,541.9509816,2.201010749,19.3553922
Mg9Si5,Mg-Si,167,R-3c,-84.212498,58.339,35.99,89.546,0.244,1.663,28,-0.187045429,19.43642857,12.8303,12.8303,12.8303,32.541411,32.541411,32.541409,543.4448973,2.194960228,19.40874633
Mg9Si5,Mg-Si,155,R32,-84.408305,57.542,35.813,88.942,0.242,1.699,28,-0.194038536,19.57821429,12.964013,12.964013,12.964013,32.156451,32.156451,32.156451,548.5087295,2.174696357,19.58959748
Mg9Sn5,Mg-Sn,146,R3,-70.620214,43.355,24.96,62.783,0.259,1.866,28,-0.320325821,24.415,8.813833,8.813833,8.813834,96.79251,96.79251,96.792513,669.0115742,4.032359478,23.89327051
Mg9Sn5,Mg-Sn,148,R-3,-70.620179,43.342,24.96,62.78,0.259,1.866,28,-0.320324571,24.41464286,8.888399,8.888399,8.888399,96.87517,96.87517,96.87517,685.7238664,3.934083812,24.49013809
MgAg,Ag-Mg,221,Pm-3m,-4.757048,65.4,25.117,66.785,0.33,2.726,2,-0.29052725,18.425,3.303938,3.303938,3.303938,90,90,90,36.0657956,6.085510065,18.0328978
MgAg2,Ag-Mg,63,Cmcm,-15.065301,73.221,33.884,87.994,0.3,2.362,6,-0.202391833,18.115,7.252125,7.252125,4.642142,90,90,154.240505,106.10437,7.513321502,17.68406167
MgAg2,Ag-Mg,63,Cmcm,-15.014281,72.364,29.578,77.979,0.32,2.774,6,-0.1938885,18.18666667,5.096336,5.096336,4.795129,90,90,121.727964,105.9299129,7.525695272,17.65498548
MgAg2,Ag-Mg,15,C2/c,-14.954506,71.907,12.991,35.638,0.418,22.924,6,-0.183926,18.17333333,4.982506,4.982506,6.024418,59.274479,59.274479,61.964249,106.0054257,7.520334357,17.66757094
MgAg3,Ag-Mg,194,P6_3/mmc,-20.771674,79.024,43.287,109.79,0.268,1.897,8,-0.177720125,17.94875,5.797158,5.797159,4.799131,90,90,120.000006,139.6765742,8.272217238,17.45957177
MgAg3,Ag-Mg,221,Pm-3m,-10.278227,78.776,31.096,82.44,0.326,2.534,4,-0.150817625,17.955,4.11837,4.11837,4.11837,90,90,90,69.85153516,8.270648328,17.46288379
MgAg3,Ag-Mg,139,I4/mmm,-10.332054,77.523,16.815,46.337,0.401,9.077,4,-0.164274375,17.9675,5.065848,5.065848,5.065848,132.262454,132.262454,69.814823,69.82583189,8.273692798,17.45645797
MgAg3,Ag-Mg,166,R-3m,-9.883724,72.889,18.733,51.121,0.383,6.639,4,-0.052191875,18.335,9.457744,9.457744,9.457744,18.492435,18.492435,18.492438,74.34579303,7.770681553,18.58644826
MgAg4,Ag-Mg,166,R-3m,-12.587654,75.633,14.847,40.676,0.411,16.268,5,-0.0326432,18.23,11.776701,11.776701,11.776701,14.709975,14.709975,14.709976,91.70561171,8.252895635,18.34112234
MgAg5,Ag-Mg,155,R32,-15.745264,82.229,36.05,94.348,0.309,2.361,6,-0.095224083,17.95166667,5.594436,5.594436,5.594437,53.379805,53.379805,53.379806,104.6224913,8.946032453,17.43708189
MgAl2,Al-Mg,194,P6_3/mmc,-36.297996,61.673,23.455,62.336,0.332,3.035,12,-0.085129667,18.7825,5.440049,5.440049,8.585343,90,90,120.000008,220.0360582,2.362652757,18.33633818
MgAs,As-Mg,187,P-6m2,-7.008764,56.998,21.495,56.855,0.334,3.673,2,-0.474198625,21.73,4.1235,4.1235,2.962647,90,90,120.000003,43.62571601,3.776892641,21.812858
MgAs4,As-Mg,92,P4_12_12,-85.34132,43.519,25.483,63.958,0.255,1.751,20,-0.2746798,24.073,5.429584,5.429584,15.933974,90,90,90,469.7396237,4.581264597,23.48698118
MgAu,Au-Mg,221,Pm-3m,-5.975931,85.044,23.325,64.084,0.374,3.955,2,-0.6047625,17.885,3.273539,3.273539,3.273539,90,90,90,35.07943275,10.47423108,17.53971638
MgAu2,Au-Mg,63,Cmcm,-18.791698,97.863,35.454,94.897,0.338,2.816,6,-0.429849667,17.94,5.07125,5.07125,4.807937,90,90,122.084679,104.7629314,13.25852108,17.46048857
MgAu2,Au-Mg,63,Cmcm,-18.781826,96.31,17.693,49.194,0.415,12.119,6,-0.428204333,17.86166667,6.672645,6.672645,4.204113,90,90,146.109643,104.375218,13.30777134,17.39586967
MgAu2,Au-Mg,12,C2/m,-18.743805,94.851,22.913,63.084,0.391,6.502,6,-0.4218675,18.055,5.354806,5.354806,7.398003,69.66548,69.66548,33.416087,108.8628573,12.75918682,18.14380956
MgAu3,Au-Mg,194,P6_3/mmc,-25.74046,115.332,43.455,115.817,0.333,2.698,8,-0.356009,17.70375,5.788747,5.788747,4.775691,90,90,120.000007,138.5912932,14.74221687,17.32391165
MgAu3,Au-Mg,63,Cmcm,-256.521428,114.522,34.363,93.702,0.364,3.475,80,-0.34496935,17.70375,5.88672,10.547863,24.006634,90,90,106.203394,1431.415676,14.27358198,17.89269595
